NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,APOAPSIS,PERIAPSIS,BSTAR,COUNTRY_CODE,RCS_SIZE,NAME,LINE1,LINE2
51,2025-08-09T12:31:11.585568,12.18362299,0.0106732,47.2135,293.7644,348.942,10.9027,1684.833,1514.536,0.00046724,US,MEDIUM,0 ECHO 1 DEB (METAL OBJ),1    51U 60009C   25221.52166187 -.00000037  00000-0  46724-3 0  9996,2    51  47.2135 293.7644 0106732 348.9420  10.9027 12.18362299893163
121,2025-08-09T04:03:32.972832,14.00154584,0.0098187,66.747,97.0978,226.169,133.1247,964.658,821.866,6.08e-05,US,MEDIUM,0 THOR ABLESTAR DEB,1   121U 61015F   25221.16913163  .00000014  00000-0  60800-4 0  9992,2   121  66.7470  97.0978 0098187 226.1690 133.1247 14.00154584282662
124,2025-08-09T10:49:55.805376,14.35117723,0.0072035,66.546,351.7232,342.1053,17.7511,826.202,723.152,0.00015871,US,SMALL,0 THOR ABLESTAR DEB,1   124U 61015J   25221.45134034  .00000379  00000-0  15871-3 0  9990,2   124  66.5460 351.7232 0072035 342.1053  17.7511 14.35117723314660
125,2025-08-09T01:43:08.726592,14.07382572,0.0079726,66.8774,350.4953,290.9223,68.3344,926.118,810.571,6.6182e-05,US,SMALL,0 THOR ABLESTAR DEB,1   125U 61015K   25221.07162878  .00000035  00000-0  66182-4 0  9997,2   125  66.8774 350.4953 0079726 290.9223  68.3344 14.07382572273824
126,2025-08-09T09:27:43.136064,14.43601289,0.0053552,66.7075,208.2124,132.9542,227.6073,784.781,708.472,0.00042737,US,MEDIUM,0 THOR ABLESTAR DEB,1   126U 61015L   25221.39424926  .00001386  00000-0  42737-3 0  9997,2   126  66.7075 208.2124 0053552 132.9542 227.6073 14.43601289319993
127,2025-08-09T07:08:16.700064,14.47010889,0.0072073,66.8277,60.8309,249.6693,109.666,786.7,684.16,0.00039451,US,MEDIUM,0 THOR ABLESTAR DEB,1   127U 61015M   25221.29741551  .00001391  00000-0  39451-3 0  9998,2   127  66.8277  60.8309 0072073 249.6693 109.6660 14.47010889321682
128,2025-08-09T12:06:47.592864,14.01918379,0.0093241,66.6728,239.3093,177.1702,182.9929,954.904,819.419,8.1753e-05,US,MEDIUM,0 THOR ABLESTAR DEB,1   128U 61015N   25221.50471751  .00000049  00000-0  81753-4 0  9997,2   128  66.6728 239.3093 0093241 177.1702 182.9929 14.01918379271802
138,2025-08-09T02:23:09.424896,14.04296195,0.0030266,67.1547,150.1409,351.3302,8.726,900.922,856.994,0.00027711,US,SMALL,0 THOR ABLESTAR DEB,1   138U 61015Y   25221.09941464  .00000366  00000-0  27711-3 0  9990,2   138  67.1547 150.1409 0030266 351.3302   8.7260 14.04296195259446
148,2025-08-09T09:10:31.458720,14.1011186,0.0133665,65.7707,213.8514,124.8534,236.5201,955.726,762.256,0.00047092,US,MEDIUM,0 THOR ABLESTAR DEB,1   148U 61015AJ  25221.38230855  .00000817  00000-0  47092-3 0  9993,2   148  65.7707 213.8514 0133665 124.8534 236.5201 14.10111860715490
150,2025-08-09T13:06:17.569152,13.83492898,0.0050327,66.2488,311.7573,75.6435,285.0215,988.414,914.638,0.00027101,US,MEDIUM,0 THOR ABLESTAR DEB,1   150U 61015AL  25221.54603668  .00000223  00000-0  27101-3 0  9990,2   150  66.2488 311.7573 0050327  75.6435 285.0215 13.83492898 65847
154,2025-08-09T10:45:48.200256,14.06068996,0.0089196,66.6558,218.7089,232.0513,127.2489,937.533,808.181,0.000242,US,MEDIUM,0 THOR ABLESTAR DEB,1   154U 61015AQ  25221.44847454  .00000331  00000-0  24200-3 0  9993,2   154  66.6558 218.7089 0089196 232.0513 127.2489 14.06068996273220
196,2025-08-09T07:16:46.000416,8.89680651,0.0099831,91.1035,190.0614,303.2574,55.8763,3558.207,3361.777,-0.00014842,US,MEDIUM,0 MIDAS 3 DEB,1   196U 61018D   25221.30331019  .00000001  00000-0 -14842-3 0  9998,2   196  91.1035 190.0614 0099831 303.2574  55.8763  8.89680651 81321
210,2025-08-08T23:16:53.456160,13.88627355,0.0043524,66.4568,55.9376,160.9678,199.3036,965.27,901.624,0.00048008,US,MEDIUM,0 THOR ABLESTAR DEB,1   210U 61015BE  25220.97006315  .00000504  00000-0  48008-3 0  9990,2   210  66.4568  55.9376 0043524 160.9678 199.3036 13.88627355222443
224,2025-08-09T07:07:23.398176,14.11488606,0.007227,66.7336,223.3771,252.6445,121.5489,906.553,802.016,0.00023776,US,MEDIUM,0 THOR ABLESTAR DEB,1   224U 61015BL  25221.29679859  .00000361  00000-0  23776-3 0  9996,2   224  66.7336 223.3771 0072270 252.6445 121.5489 14.11488606268894
227,2025-08-08T14:51:04.780512,14.40412512,0.0128523,48.1486,313.8072,211.3743,147.9438,848.843,665.433,0.00011401,US,SMALL,0 DELTA 1 DEB (YO),1   227U 62002B   25220.61880533  .00000228  00000-0  11401-3 0  9998,2   227  48.1486 313.8072 0128523 211.3743 147.9438 14.40412512320016
230,2025-08-09T01:31:03.042624,13.96705521,0.0089119,66.883,96.2299,34.704,325.9812,970.136,840.319,9.6812e-05,US,SMALL,0 THOR ABLESTAR DEB,1   230U 61015BN  25221.06322966  .00000062  00000-0  96812-4 0  9992,2   230  66.8830  96.2299 0089119  34.7040 325.9812 13.96705521262662
232,2025-08-09T02:03:05.020128,14.005731,0.0061553,66.8197,267.5521,321.5673,38.1034,936.562,847.065,0.00012215,US,MEDIUM,0 THOR ABLESTAR DEB,1   232U 61015BQ  25221.08547477  .00000106  00000-0  12215-3 0  9995,2   232  66.8197 267.5521 0061553 321.5673  38.1034 14.00573100263776
233,2025-08-09T13:11:17.263968,15.39296256,0.0021568,66.8202,312.6583,282.8623,77.0122,462.914,433.468,0.0048732,US,MEDIUM,0 THOR ABLESTAR DEB,1   233U 61015BR  25221.54950537  .00197142  00000-0  48732-2 0  9991,2   233  66.8202 312.6583 0021568 282.8623  77.0122 15.39296256333809
234,2025-08-09T09:11:12.992064,14.03827526,0.0070913,66.8741,217.0169,349.4345,10.5247,932.047,829.1,0.00023615,US,SMALL,0 THOR ABLESTAR DEB,1   234U 61015BS  25221.38278926  .00000302  00000-0  23615-3 0  9994,2   234  66.8741 217.0169 0070913 349.4345  10.5247 14.03827526268206
244,2025-08-09T12:20:55.718592,13.95582187,0.0075331,66.8403,275.3725,302.1042,57.2743,964.031,854.24,0.00014254,US,SMALL,0 THOR ABLESTAR DEB,1   244U 61015BZ  25221.51453378  .00000121  00000-0  14254-3 0  9994,2   244  66.8403 275.3725 0075331 302.1042  57.2743 13.95582187256090
253,2025-08-09T08:07:45.611904,15.09255164,0.0021351,66.9096,190.734,281.0554,78.8185,553.244,523.709,0.0029614,US,SMALL,0 THOR ABLESTAR DEB,1   253U 61015CE  25221.33872236  .00047721  00000-0  29614-2 0  9994,2   253  66.9096 190.7340 0021351 281.0554  78.8185 15.09255164332732
323,2025-08-09T03:19:19.581312,14.1596207,0.0081967,66.8373,173.0669,312.5836,46.8359,898.2,779.886,0.00023274,US,SMALL,0 THOR ABLESTAR DEB,1   323U 61015CZ  25221.13842108  .00000393  00000-0  23274-3 0  9996,2   323  66.8373 173.0669 0081967 312.5836  46.8359 14.15962070284794
334,2025-08-09T09:29:54.591072,13.91676467,0.0083091,66.9218,222.6007,323.713,35.8332,983.428,862.1,5.9831e-05,US,SMALL,0 THOR ABLESTAR DEB,1   334U 61015DL  25221.39577073  .00000002  00000-0  59831-4 0  9998,2   334  66.9218 222.6007 0083091 323.7130  35.8332 13.91676467253119
351,2025-08-09T11:24:55.992384,14.78503105,0.0030194,66.7413,251.576,220.2312,139.6577,655.228,612.882,0.0012196,US,SMALL,0 THOR ABLESTAR DEB,1   351U 61015DR  25221.47564806  .00008890  00000-0  12196-2 0  9990,2   351  66.7413 251.5760 0030194 220.2312 139.6577 14.78503105331923
402,2025-08-09T04:04:06.566880,14.65852712,0.0031007,66.6548,23.4491,206.286,153.6684,696.209,652.473,0.0019337,US,SMALL,0 THOR ABLESTAR DEB,1   402U 61015EB  25221.16952045  .00010570  00000-0  19337-2 0  9991,2   402  66.6548  23.4491 0031007 206.2860 153.6684 14.65852712295797
