NORAD_CAT_ID,EPOCH_UNIX,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,APOAPSIS,PERIAPSIS,BSTAR
51,1754742671,12.18362299,0.0106732,47.2135,293.7644,348.942,10.9027,1684.833,1514.536,0.00046724
121,1754712212,14.00154584,0.0098187,66.747,97.0978,226.169,133.1247,964.658,821.866,6.08e-05
124,1754736595,14.35117723,0.0072035,66.546,351.7232,342.1053,17.7511,826.202,723.152,0.00015871
125,1754703788,14.07382572,0.0079726,66.8774,350.4953,290.9223,68.3344,926.118,810.571,6.6182e-05
126,1754731663,14.43601289,0.0053552,66.7075,208.2124,132.9542,227.6073,784.781,708.472,0.00042737
127,1754723296,14.47010889,0.0072073,66.8277,60.8309,249.6693,109.666,786.7,684.16,0.00039451
128,1754741207,14.01918379,0.0093241,66.6728,239.3093,177.1702,182.9929,954.904,819.419,8.1753e-05
138,1754706189,14.04296195,0.0030266,67.1547,150.1409,351.3302,8.726,900.922,856.994,0.00027711
148,1754730631,14.1011186,0.0133665,65.7707,213.8514,124.8534,236.5201,955.726,762.256,0.00047092
150,1754744777,13.83492898,0.0050327,66.2488,311.7573,75.6435,285.0215,988.414,914.638,0.00027101
154,1754736348,14.06068996,0.0089196,66.6558,218.7089,232.0513,127.2489,937.533,808.181,0.000242
196,1754723806,8.89680651,0.0099831,91.1035,190.0614,303.2574,55.8763,3558.207,3361.777,-0.00014842
210,1754695013,13.88627355,0.0043524,66.4568,55.9376,160.9678,199.3036,965.27,901.624,0.00048008
224,1754723243,14.11488606,0.007227,66.7336,223.3771,252.6445,121.5489,906.553,802.016,0.00023776
227,1754664664,14.40412512,0.0128523,48.1486,313.8072,211.3743,147.9438,848.843,665.433,0.00011401
230,1754703063,13.96705521,0.0089119,66.883,96.2299,34.704,325.9812,970.136,840.319,9.6812e-05
232,1754704985,14.005731,0.0061553,66.8197,267.5521,321.5673,38.1034,936.562,847.065,0.00012215
233,1754745077,15.39296256,0.0021568,66.8202,312.6583,282.8623,77.0122,462.914,433.468,0.0048732
234,1754730672,14.03827526,0.0070913,66.8741,217.0169,349.4345,10.5247,932.047,829.1,0.00023615
244,1754742055,13.95582187,0.0075331,66.8403,275.3725,302.1042,57.2743,964.031,854.24,0.00014254
253,1754726865,15.09255164,0.0021351,66.9096,190.734,281.0554,78.8185,553.244,523.709,0.0029614
323,1754709559,14.1596207,0.0081967,66.8373,173.0669,312.5836,46.8359,898.2,779.886,0.00023274
334,1754731794,13.91676467,0.0083091,66.9218,222.6007,323.713,35.8332,983.428,862.1,5.9831e-05
351,1754738695,14.78503105,0.0030194,66.7413,251.576,220.2312,139.6577,655.228,612.882,0.0012196
402,1754712246,14.65852712,0.0031007,66.6548,23.4491,206.286,153.6684,696.209,652.473,0.0019337
407,1754743213,15.34356345,0.0007807,66.2928,265.9659,230.2009,129.8451,468.176,457.494,0.0084304
461,1754740493,14.93306782,0.0033072,67.4961,252.4044,266.536,93.1993,610.673,564.598,0.001875
469,1754736631,14.34327963,0.0050674,66.8313,252.9319,66.3943,294.2468,813.562,741.043,0.00030931
470,1754705011,14.08768231,0.0064168,66.2322,357.1046,162.8652,197.4618,910.061,817.123,0.0002177
510,1754706593,13.70019323,0.0015882,80.5126,273.1222,174.5335,204.09,1011.221,987.786,9.391e-05
511,1754745455,13.68516766,0.0032559,80.4296,140.9805,58.8544,122.6388,1028.941,980.864,7.6003e-05
516,1754733864,13.92577347,0.0089437,65.9928,215.6977,304.6962,54.5708,984.883,854.346,0.00015941
538,1754702352,14.6160121,0.0009207,67.8045,64.8741,242.6639,117.3548,694.516,681.505,0.001036
545,1754659521,13.70781504,0.0165427,67.2314,280.012,283.2814,74.9855,1118.769,874.768,0.00038313
629,1754698313,8.65566249,0.0066061,87.3305,220.9421,320.7246,38.8828,3708.072,3575.685,0.010108
631,1754694331,8.55877752,0.0166257,88.4024,234.3828,34.8845,326.2772,3885.198,3549.509,0.0
644,1754716802,13.60858039,0.0143082,67.0989,291.9379,335.0183,56.9892,1138.611,926.543,0.0012236
656,1754541024,12.72257291,0.0669208,66.2895,125.3983,275.2625,77.2424,1891.457,854.064,-0.00077305
660,1754746425,14.97309492,0.0012833,66.5019,17.8836,34.1798,33.7224,584.139,566.292,0.0020936
720,1754744275,14.50126102,0.0110555,58.4708,164.0421,29.1585,331.5555,803.77,646.707,0.00025265
