NORAD_CAT_ID,EPOCH_UNIX,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,APOAPSIS,PERIAPSIS,BSTAR,ORBITAL_PERIOD,SEMI_MAJOR_AXIS,ORBITAL_VELOCITY,PERIGEE_ALTITUDE,APOGEE_ALTITUDE
51,1754742671,12.18362299,0.0106732,47.2135,293.7644,348.942,10.9027,1684.833,1514.536,0.00046724,7091.486667874971,7977.8195140481885,6.999705545005166,-4856.464,-4686.1669999999995
121,1754712212,14.00154584,0.0098187,66.747,97.0978,226.169,133.1247,964.658,821.866,6.08e-05,6170.74721515178,7271.396892622343,7.338744655703699,-5549.134,-5406.342
124,1754736595,14.35117723,0.0072035,66.546,351.7232,342.1053,17.7511,826.202,723.152,0.00015871,6020.412027202036,7152.812202908125,7.418827002935707,-5647.848,-5544.798
125,1754703788,14.07382572,0.0079726,66.8774,350.4953,290.9223,68.3344,926.118,810.571,6.6182e-05,6139.055699490358,7246.479403586561,7.3649609017682005,-5560.429,-5444.882
126,1754731663,14.43601289,0.0053552,66.7075,208.2124,132.9542,227.6073,784.781,708.472,0.00042737,5985.032062409027,7124.761547152767,7.447197954707549,-5662.528,-5586.219
127,1754723296,14.47010889,0.0072073,66.8277,60.8309,249.6693,109.666,786.7,684.16,0.00039451,5970.929497269319,7113.5650697397405,7.439276338078726,-5686.84,-5584.3
128,1754741207,14.01918379,0.0093241,66.6728,239.3093,177.1702,182.9929,954.904,819.419,8.1753e-05,6162.983615467673,7265.296706627487,7.34546392968143,-5551.581,-5416.096
138,1754706189,14.04296195,0.0030266,67.1547,150.1409,351.3302,8.726,900.922,856.994,0.00027711,6152.548180905667,7257.093110752041,7.39605474153674,-5514.006,-5470.0779999999995
148,1754730631,14.1011186,0.0133665,65.7707,213.8514,124.8534,236.5201,955.726,762.256,0.00047092,6127.173485371579,7237.125954242804,7.330080029065616,-5608.744,-5415.274
150,1754744777,13.83492898,0.0050327,66.2488,311.7573,75.6435,285.0215,988.414,914.638,0.00027101,6245.062777329847,7329.660940431786,7.344530146225083,-5456.362,-5382.586
154,1754736348,14.06068996,0.0089196,66.6558,218.7089,232.0513,127.2489,937.533,808.181,0.000242,6144.79092034542,7250.991899044495,7.355694955116576,-5562.8189999999995,-5433.467
196,1754723806,8.89680651,0.0099831,91.1035,190.0614,303.2574,55.8763,3558.207,3361.777,-0.00014842,9711.349786340357,9838.126692439351,6.306551061692079,-3009.223,-2812.793
210,1754695013,13.88627355,0.0043524,66.4568,55.9376,160.9678,199.3036,965.27,901.624,0.00048008,6221.971624633594,7311.582147796559,7.358626965033819,-5469.376,-5405.73
224,1754723243,14.11488606,0.007227,66.7336,223.3771,252.6445,121.5489,906.553,802.016,0.00023776,6121.197127113048,7232.419195431045,7.377629634107933,-5568.984,-5464.447
227,1754664664,14.40412512,0.0128523,48.1486,313.8072,211.3743,147.9438,848.843,665.433,0.00011401,5998.281692237897,7135.27284220013,7.386112522927627,-5705.567,-5522.157
230,1754703063,13.96705521,0.0089119,66.883,96.2299,34.704,325.9812,970.136,840.319,9.6812e-05,6185.985427918989,7283.362762741956,7.339355518446344,-5530.6810000000005,-5400.864
232,1754704985,14.005731,0.0061553,66.8197,267.5521,321.5673,38.1034,936.562,847.065,0.00012215,6168.903286804522,7269.948272519535,7.366415757613608,-5523.9349999999995,-5434.438
233,1754745077,15.39296256,0.0021568,66.8202,312.6583,282.8623,77.0122,462.914,433.468,0.0048732,5612.954599429624,6826.326124045142,7.632953675811044,-5937.532,-5908.086
234,1754730672,14.03827526,0.0070913,66.8741,217.0169,349.4345,10.5247,932.047,829.1,0.00023615,6154.602214289393,7258.708211984784,7.36523077745548,-5541.9,-5438.9529999999995
244,1754742055,13.95582187,0.0075331,66.8403,275.3725,302.1042,57.2743,964.031,854.24,0.00014254,6190.964660112848,7287.270595089379,7.347507782872965,-5516.76,-5406.969
253,1754726865,15.09255164,0.0021351,66.9096,190.734,281.0554,78.8185,553.244,523.709,0.0029614,5724.678110162159,6916.611689607426,7.5830331971956015,-5847.291,-5817.756
323,1754709559,14.1596207,0.0081967,66.8373,173.0669,312.5836,46.8359,898.2,779.886,0.00023274,6101.85836404502,7217.1781907021,7.378272681771846,-5591.114,-5472.8
334,1754731794,13.91676467,0.0083091,66.9218,222.6007,323.713,35.8332,983.428,862.1,5.9831e-05,6208.339513439513,7300.898639016496,7.334938441875357,-5508.9,-5387.572
351,1754738695,14.78503105,0.0030194,66.7413,251.576,220.2312,139.6577,655.228,612.882,0.0012196,5843.748295679095,7012.190090824719,7.524412902768149,-5758.118,-5715.772
402,1754712246,14.65852712,0.0031007,66.6548,23.4491,206.286,153.6684,696.209,652.473,0.0019337,5894.180178724532,7052.476019337798,7.50223759803159,-5718.527,-5674.791
407,1754743213,15.34356345,0.0007807,66.2928,265.9659,230.2009,129.8451,468.176,457.494,0.0084304,5631.025692405241,6840.96999514335,7.635261849478609,-5913.506,-5902.824
461,1754740493,14.93306782,0.0033072,67.4961,252.4044,266.536,93.1993,610.673,564.598,0.001875,5785.817157026747,6965.770306343863,7.547321092742821,-5806.402,-5760.327
469,1754736631,14.34327963,0.0050674,66.8313,252.9319,66.3943,294.2468,813.562,741.043,0.00030931,6023.726945913276,7155.437584194719,7.4333245016966645,-5629.957,-5557.438
470,1754705011,14.08768231,0.0064168,66.2322,357.1046,162.8652,197.4618,910.061,817.123,0.0002177,6133.017347975673,7241.726884813757,7.378853412555763,-5553.877,-5460.939
510,1754706593,13.70019323,0.0015882,80.5126,273.1222,174.5335,204.09,1011.221,987.786,9.391e-05,6306.480394072515,7377.638642296445,7.3458228611723175,-5383.214,-5359.779
511,1754745455,13.68516766,0.0032559,80.4296,140.9805,58.8544,122.6388,1028.941,980.864,7.6003e-05,6313.404566648912,7383.037818658507,7.330895673563111,-5390.136,-5342.059
516,1754733864,13.92577347,0.0089437,65.9928,215.6977,304.6962,54.5708,984.883,854.346,0.00015941,6204.323241802669,7297.749589313058,7.331870300888323,-5516.654,-5386.117
538,1754702352,14.6160121,0.0009207,67.8045,64.8741,242.6639,117.3548,694.516,681.505,0.001036,5911.325155512152,7066.145547620342,7.511320466338857,-5689.495,-5676.484
545,1754659521,13.70781504,0.0165427,67.2314,280.012,283.2814,74.9855,1118.769,874.768,0.00038313,6302.973869130933,7374.9036490573835,7.238122961569207,-5496.232,-5252.231
629,1754698313,8.65566249,0.0066061,87.3305,220.9421,320.7246,38.8828,3708.072,3575.685,0.010108,9981.904920601866,10020.013320605985,6.270106908837215,-2795.315,-2662.928
631,1754694331,8.55877752,0.0166257,88.4024,234.3828,34.8845,326.2772,3885.198,3549.509,0.0,10094.899627674866,10095.48876436188,6.184308295966949,-2821.491,-2485.802
644,1754716802,13.60858039,0.0143082,67.0989,291.9379,335.0183,56.9892,1138.611,926.543,0.0012236,6348.935562998868,7410.712400455083,7.236736329854059,-5444.457,-5232.389
656,1754541024,12.72257291,0.0669208,66.2895,125.3983,275.2625,77.2424,1891.457,854.064,-0.00077305,6791.079179596542,7750.895394625574,6.712551713908808,-5516.936,-4479.543
660,1754746425,14.97309492,0.0012833,66.5019,17.8836,34.1798,33.7224,584.139,566.292,0.0020936,5770.350115432248,6953.350520029863,7.5693767350534005,-5804.708,-5786.861
720,1754744275,14.50126102,0.0110555,58.4708,164.0421,29.1585,331.5555,803.77,646.707,0.00025265,5958.1025319686305,7103.373674575733,7.41602690859573,-5724.293,-5567.23
732,1754705417,13.99657305,0.0433296,78.5533,257.7203,134.844,228.8796,1210.125,579.843,0.0016527,6172.9395968108065,7273.119075560611,7.095872415332343,-5791.157,-5160.875
739,1754736930,13.8487477,0.0637238,30.4281,322.3475,292.2449,61.1774,1413.412,479.886,7.8328e-05,6238.831255478789,7324.784283644909,6.92761565037681,-5891.114,-4957.588
831,1754712230,12.69536628,0.1290474,60.6753,269.0943,223.4205,125.7802,2385.491,382.169,0.0018662,6805.632708377438,7761.965076329905,6.299849473291528,-5988.831,-3985.509
